id,status,assignedTimestamp,testedByProfile
1,Tested,1665381635527,BigGremlin
2,Tested,1665381644665,prepheadrus
3,Tested,1665442596156,vraptor75011
4,Tested,1665381664246,tiger4242
5,Tested,1665381674952,Chommoh
6,Tested,1665381684706,caoHenriques
7,Tested,1665381697732,caoHenriques
8,Tested,1665381708338,caoHenriques
9,Tested,1665381719651,caoHenriques
10,Tested,1665381729375,caoHenriques
11,Tested,1665381740076,Chommoh
12,Tested,1665381750852,Chommoh
13,Tested,1665381764777,DJ05GaZ
14,Tested,1665381775222,Chommoh
15,Tested,1665381786533,tigers40
16,Tested,1665381798522,Chommoh
17,Tested,1665381810728,caoHenriques
18,Tested,1665381824483,Chommoh
19,Tested,1665381838987,vraptor75011
20,Tested,1665381852070,prepheadrus
21,Tested,1665381864815,theblockchainarborist
22,Tested,1665381875144,vraptor75011
23,Tested,1665381887712,vraptor75011
24,Tested,1665381907186,vraptor75011
25,Tested,1665381923195,Chommoh
26,Tested,1665381937192,tiger4242
27,Tested,1665381952260,Chommoh
28,Tested,1665381972121,Chommoh
29,Tested,1665381987742,Chommoh
30,Tested,1665382002640,BastianMuc
31,Tested,1665382019062,Chommoh
32,Tested,1665382040077,Chommoh
33,Tested,1665382057026,BastianMuc
34,Tested,1665382070325,Chommoh
35,Tested,1665382084641,tiger4242
36,Tested,1665382103306,Chommoh
37,Tested,1665382118363,Chommoh
38,Tested,1665382132780,tigers40
39,Tested,1665468616284,tigers40
40,Tested,1665382165980,BastianMuc
41,Tested,1665468637331,vraptor75011
42,Tested,1665382198885,Chommoh
43,Tested,1665382215140,tigers40
44,Tested,1665382234810,caoHenriques
45,Tested,1665382252026,BigGremlin
46,Tested,1665382267501,Chommoh
47,Tested,1665454659591,vraptor75011
48,Tested,1665382308848,tigers40
49,Tested,1665382326023,tigers40
50,Tested,1665382340424,Chommoh
51,Tested,1665382355671,Chommoh
52,Tested,1665382375146,caoHenriques
53,Tested,1665382391263,tigers40
54,Tested,1665382406332,tigers40
55,Tested,1665382422316,tigers40
56,Tested,1665382443104,tiger4242
57,Tested,1665382460479,Chommoh
58,Tested,1665382475759,Chommoh
59,Tested,1665382531692,tigers40
60,Tested,1665382548640,tigers40
61,Tested,1665382570364,prepheadrus
62,Tested,1665382586389,tigers40
63,Tested,1665382603485,Chommoh
64,Tested,1665382620817,tiger4242
65,Tested,1665382642854,tiger4242
66,Tested,1665382656268,quantum8
67,Tested,1665382670594,vraptor75011
68,Tested,1665382746521,caoHenriques
69,Tested,1665382764621,quantum8
70,Tested,1665382780063,BigGremlin
71,Tested,1665382796363,Chommoh
72,Tested,1665382811892,Chommoh
73,Tested,1665383110033,DJ05GaZ
74,Tested,1665383717113,BigGremlin
75,Tested,1665383733080,BigGremlin
76,Tested,1665383749130,BigGremlin
77,Tested,1665383770422,BigGremlin
78,Tested,1665383785324,BigGremlin
79,Tested,1665384311491,theblockchainarborist
80,Tested,1665384475617,DJ05GaZ
81,Tested,1665385116602,tiger4242
82,Tested,1665385341804,caoHenriques
83,Tested,1665385380423,caoHenriques
84,Tested,1665385395835,caoHenriques
85,Tested,1665385433292,tiger4242
86,Tested,1665385567829,tiger4242
87,Tested,1665385848105,DJ05GaZ
88,Tested,1665385976562,tiger4242
89,Tested,1665386048613,vraptor75011
90,Tested,1665386113830,caoHenriques
91,Tested,1665386162916,caoHenriques
92,Tested,1665386203497,tiger4242
93,Tested,1665386225777,tiger4242
94,Tested,1665386302218,caoHenriques
95,Tested,1665386564846,caoHenriques
96,Tested,1665386581955,quantum8
97,Tested,1665386687139,quantum8
98,Tested,1665386711254,BastianMuc
99,Tested,1665386722913,BastianMuc
100,Tested,1665386734422,theblockchainarborist
101,Tested,1665386870326,BastianMuc
102,Tested,1665386900814,caoHenriques
103,Tested,1665386917137,tigers40
104,Tested,1665387003262,caoHenriques
105,Tested,1665387056209,Chommoh
106,Tested,1665387108454,Chommoh
107,Tested,1665387124720,vraptor75011
108,Tested,1665387161072,tigers40
109,Tested,1665387178222,Chommoh
110,Tested,1665387218920,DJ05GaZ
111,Tested,1665387236476,Chommoh
112,Tested,1665387319227,Chommoh
113,Tested,1665387394461,vraptor75011
114,Tested,1665387425877,vraptor75011
115,Tested,1665387456116,Chommoh
116,Tested,1665387472562,vraptor75011
117,Tested,1665387491980,Chommoh
118,Tested,1665387522384,Chommoh
119,Tested,1665387539690,Chommoh
120,Tested,1665387565847,Chommoh
121,Tested,1665387584186,Chommoh
122,Tested,1665387623750,Chommoh
123,Tested,1665387641036,Chommoh
124,Tested,1665387744985,Chommoh
125,Tested,1665387763021,Chommoh
126,Tested,1665387842341,Chommoh
127,Tested,1665388042325,Chommoh
128,Tested,1665388123837,Chommoh
129,Tested,1665388435359,Chommoh
130,Tested,1665388555501,Chommoh
131,Tested,1665388587479,DJ05GaZ
132,Tested,1665388621974,tiger4242
133,Tested,1665388637142,Chommoh
134,Tested,1665388773200,Chommoh
135,Tested,1665388886649,Chommoh
136,Tested,1665388920893,Chommoh
137,Tested,1665388958527,tiger4242
138,Tested,1665389116614,tiger4242
139,Tested,1665389177099,caoHenriques
140,Tested,1665389209658,theblockchainarborist
141,Tested,1665389221957,caoHenriques
142,Tested,1665389252935,caoHenriques
143,Tested,1665389486457,tiger4242
144,Tested,1665389741593,tiger4242
145,Tested,1665389777231,tiger4242
146,Tested,1665389945650,DJ05GaZ
147,Tested,1665390392718,caoHenriques
148,Tested,1665390520398,quantum8
149,Tested,1665390558816,vraptor75011
150,Tested,1665390625074,quantum8
151,Tested,1665390717745,JustOneNerd
152,Tested,1665390745643,JustOneNerd
153,Tested,1665390762537,caoHenriques
154,Tested,1665390777694,caoHenriques
155,Tested,1665394984448,end-debug
156,Tested,1665394483581,end-debug
157,Tested,1665391016587,prepheadrus
158,Tested,1665391074279,caoHenriques
159,Tested,1665391284372,BastianMuc
160,Tested,1665391309048,BastianMuc
161,Tested,1665391338278,DJ05GaZ
162,Tested,1665391352496,tigers40
163,Tested,1665391458184,BastianMuc
164,Tested,1665391492217,caoHenriques
165,Tested,1665391569507,prepheadrus
166,Tested,1665479079544,Chommoh
167,Tested,1665391606835,vraptor75011
168,Tested,1665391619181,theblockchainarborist
