id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,parametersHash,status,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,testedBy,timestamp,when,,
707,BTC,01-hs,31,1,BTC,1,01-hs,6,15,1,3,80,6,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,095f5dc2e023f1505e91a4250582279b,Tested,time-series-BTC-01-hs-0000000707,parameters-0000000707,1,2022-04-19T14:43:33.104Z,3,1650373200000,1650376799999,41451.52,3,41580.855,41271.395,41441.14,306.565,0.74,175,2.91,0.05,p-pl / note3,1650379592235,00:16:03 HH:MM:SS ago,,
501,BTC,01-hs,31,1,BTC,1,01-hs,9,10,1,3,80,9,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,12c2faf2973d3757083afb81b2c68d89,Tested,time-series-BTC-01-hs-0000000501,parameters-0000000501,1,2022-04-19T05:45:25.794Z,3,1650340800000,1650344399999,40864.27,3,40802.754,40682.383,40875.64,306.301,0.75,993,16.55,0.28,Smidy13 / Raspberry-Pi-8GB,1650348127064,04:10:32 HH:MM:SS ago,,
691,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,bf78480bfb3cc6309a7b2dcc642f2ba5,Tested,time-series-BTC-01-hs-0000000691,parameters-0000000691,1,2022-04-19T14:35:08.480Z,3,1650373200000,1650376799999,41451.52,3,41365.426,41022.105,41216.543,311.116,0.75,410,6.83,0.11,caoHenriques / caoH_2,1650379329459,00:07:11 HH:MM:SS ago,,
652,BTC,01-hs,31,1,BTC,1,01-hs,9,15,1,3,80,9,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,f3afa1bd8d82a5c086b9089ff7e0317b,Tested,time-series-BTC-01-hs-0000000652,parameters-0000000652,1,2022-04-19T13:55:46.406Z,3,1650369600000,1650373199999,40975.11,3,41054.176,40826.6,40972.848,313.491,0.76,172,2.87,0.05,p-pl / note2,1650376724680,00:06:08 HH:MM:SS ago,,
702,BTC,01-hs,31,1,BTC,1,01-hs,6,15,1,3,80,6,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,e78c257afa4a0ef8d73e2b3cba8f3771,Tested,time-series-BTC-01-hs-0000000702,parameters-0000000702,1,2022-04-19T14:42:20.244Z,3,1650373200000,1650376799999,41451.52,3,41426.94,41073.887,41318.46,314.26,0.76,405,6.75,0.11,caoHenriques / caoH_2,1650379755072,00:00:01 HH:MM:SS ago,,
308,BTC,01-hs,31,1,BTC,1,01-hs,8,5,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,745c070b69990704cda282489a670bc1,Tested,time-series-BTC-01-hs-0000000308,parameters-0000000308,1,2022-04-18T23:14:14.493Z,3,1650319200000,1650322799999,40923.74,3,40840.043,40542.6,40707.117,313.038,0.77,231,3.86,0.06,Luis-Fernando-Molina / Laptop-Lenovo-01,1650323890798,00:00:00 HH:MM:SS ago,,
321,BTC,01-hs,31,1,BTC,1,01-hs,9,5,1,3,80,9,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,28b3c5b93d60a2ca0580b4f890c7d4f8,Tested,time-series-BTC-01-hs-0000000321,parameters-0000000321,1,2022-04-18T23:18:21.552Z,3,1650319200000,1650322799999,40923.74,3,40761.95,40339.562,40773.85,317.867,0.78,256,4.26,0.07,Luis-Fernando-Molina / Laptop-Lenovo-01,1650324162202,09:27:46 HH:MM:SS ago,,
661,BTC,01-hs,31,1,BTC,1,01-hs,9,15,1,3,80,9,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,44ddf8e75612a7d0f55b252adea8e58c,Tested,time-series-BTC-01-hs-0000000661,parameters-0000000661,1,2022-04-19T14:06:23.496Z,3,1650373200000,1650376799999,41451.52,3,41421.33,41047.758,41354.402,323.012,0.78,167,2.79,0.05,p-pl / note1,1650377357330,02:56:28 HH:MM:SS ago,,
666,BTC,01-hs,31,1,BTC,1,01-hs,9,15,1,3,80,9,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,41a6b6b6989f3f57ed4a43559ebca539,Tested,time-series-BTC-01-hs-0000000666,parameters-0000000666,1,2022-04-19T14:11:19.258Z,3,1650373200000,1650376799999,41451.52,3,41412.62,40990.285,41219.258,321.811,0.78,500,8.33,0.14,caoHenriques / caoH_1,1650377985998,02:46:00 HH:MM:SS ago,,
684,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,d1b5bfb69ee9ac8f16c19f1cbd712e41,Tested,time-series-BTC-01-hs-0000000684,parameters-0000000684,1,2022-04-19T14:31:56.781Z,3,1650373200000,1650376799999,41451.52,3,41264.703,41120.555,41316.438,322.705,0.78,335,5.58,0.09,NAmorim / TestLaptop,1650379056764,00:11:43 HH:MM:SS ago,,
693,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,bfa0ab49869a7e341f91976e0d8f062d,Tested,time-series-BTC-01-hs-0000000693,parameters-0000000693,1,2022-04-19T14:36:52.817Z,3,1650373200000,1650376799999,41451.52,3,41518.37,41358.125,41429.492,324.637,0.78,178,2.96,0.05,p-pl / note1,1650379195727,00:06:26 HH:MM:SS ago,,
705,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,20c7f05c840484824ca555ffef3208f0,Tested,time-series-BTC-01-hs-0000000705,parameters-0000000705,1,2022-04-19T14:43:26.130Z,3,1650373200000,1650376799999,41451.52,3,41747.08,41307.91,41598.05,325.131,0.78,176,2.93,0.05,p-pl / note2,1650379585777,00:15:44 HH:MM:SS ago,,
736,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,9a48c027d104ab4ef586c974d49bd39f,Tested,time-series-BTC-01-hs-0000000736,parameters-0000000736,1,2022-04-19T15:43:01.548Z,3,1650376800000,1650380399999,41565.91,3,41661.703,41134.598,41738.15,323.135,0.78,1840,30.66,0.51,NAmorim / TestLaptop,1650384827411,02:17:39 HH:MM:SS ago,,
738,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,85e60fdd782ca8d7cb644fa10546aaaa,Tested,time-series-BTC-01-hs-0000000738,parameters-0000000738,1,2022-04-19T15:46:57.515Z,3,1650376800000,1650380399999,41565.91,3,41523.246,41264.2,41594.37,325.541,0.78,865,14.42,0.24,p-pl / note1,1650384089348,02:29:57 HH:MM:SS ago,,
748,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,e393dce4a924c564bc4ced08c04153e0,Tested,time-series-BTC-01-hs-0000000748,parameters-0000000748,1,2022-04-19T16:02:20.078Z,3,1650380400000,1650383999999,41445.87,3,41707.414,41233.266,41747.45,326.386,0.78,928,15.47,0.26,p-pl / note2,1650385074190,01:16:14 HH:MM:SS ago,,
759,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,8d4ac1714d7edd1226850d2ae5a00a9c,Tested,time-series-BTC-01-hs-0000000759,parameters-0000000759,1,2022-04-19T16:30:02.960Z,3,1650380400000,1650383999999,41445.87,3,41652.46,41162.613,41764.72,325.6,0.78,2022,33.69,0.56,caoHenriques / caoH_2,1650387831891,00:00:00 HH:MM:SS ago,,
819,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,99da0d64a97e5ca97d1d3d957f3f0e5c,Tested,time-series-BTC-01-hs-0000000819,parameters-0000000819,1,2022-04-19T19:46:37.249Z,3,1650391200000,1650394799999,41400.55,3,41784.727,41350.516,41668.19,324.05,0.78,3957,65.94,1.1,caoHenriques / caoH_2,1650401562010,23:23:47 HH:MM:SS ago,,
369,BTC,01-hs,31,1,BTC,1,01-hs,9,5,1,3,80,9,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,240777d3009a558ea4c3f50d79ccb8d9,Tested,time-series-BTC-01-hs-0000000369,parameters-0000000369,1,2022-04-18T23:48:42.302Z,3,1650319200000,1650322799999,40923.74,3,41062.832,40378.92,40844.145,323.801,0.79,392,6.53,0.11,p-pl / note2,1650326119671,10:39:53 HH:MM:SS ago,,
470,BTC,01-hs,31,1,BTC,1,01-hs,10,10,1,3,80,10,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,3c47456e45195bd9e4038dd07b09cbe5,Tested,time-series-BTC-01-hs-0000000470,parameters-0000000470,1,2022-04-19T05:16:44.710Z,3,1650340800000,1650344399999,40864.27,3,41048.684,40630.617,40853.605,325.958,0.79,181,3.02,0.05,p-pl / note2,1650345591112,03:36:24 HH:MM:SS ago,,
587,BTC,01-hs,31,1,BTC,1,01-hs,6,10,1,3,80,6,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,5769ffac6b8da5cd814d494b67192e42,Tested,time-series-BTC-01-hs-0000000587,parameters-0000000587,1,2022-04-19T09:13:02.892Z,3,1650355200000,1650358799999,40725.91,3,40875.082,40456.3,41031.08,323.839,0.79,631,10.52,0.18,p-pl / note1,1650360219276,00:52:22 HH:MM:SS ago,,
649,BTC,01-hs,31,1,BTC,1,01-hs,11,15,1,3,80,11,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,ON,OFF,OFF,eef91833015cde45e4c646384c78db78,Tested,time-series-BTC-01-hs-0000000649,parameters-0000000649,1,2022-04-19T13:45:59.690Z,3,1650369600000,1650373199999,40975.11,3,41213.105,40816.91,41215.754,326.635,0.79,179,2.98,0.05,p-pl / note2,1650376145507,03:39:34 HH:MM:SS ago,,
681,BTC,01-hs,31,1,BTC,1,01-hs,9,15,1,3,80,9,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,347d573184dbb6327c748e7a484bb16b,Tested,time-series-BTC-01-hs-0000000681,parameters-0000000681,1,2022-04-19T14:30:23.871Z,3,1650373200000,1650376799999,41451.52,3,41790.715,41285.332,41578.234,331.321,0.79,176,2.93,0.05,p-pl / note1,1650378804429,00:05:54 HH:MM:SS ago,,
737,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,fcfad19a03306a84ffb422c7ee5fd074,Tested,time-series-BTC-01-hs-0000000737,parameters-0000000737,1,2022-04-19T15:46:42.359Z,3,1650376800000,1650380399999,41565.91,3,41823.07,41171.105,41856.547,328.895,0.79,866,14.44,0.24,p-pl / note3,1650384074454,02:30:12 HH:MM:SS ago,,
420,BTC,01-hs,31,1,BTC,1,01-hs,8,5,1,3,80,8,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,8a088ef64c32d7e4d155bc1cf3f1dd15,Tested,time-series-BTC-01-hs-0000000420,parameters-0000000420,1,2022-04-19T01:33:24.183Z,3,1650326400000,1650329999999,40880.79,3,41147.8,40411.605,41053.85,329.356,0.8,35797,596.62,9.94,caoHenriques / caoH_3,1650367809563,00:00:00 HH:MM:SS ago,,
497,BTC,01-hs,31,1,BTC,1,01-hs,7,10,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,b44c669e490117e4283805c8f5f24a8f,Tested,time-series-BTC-01-hs-0000000497,parameters-0000000497,1,2022-04-19T05:42:49.107Z,3,1650340800000,1650344399999,40864.27,3,41004.93,40762.69,41044.156,329.11,0.8,209,3.48,0.06,p-pl / note1,1650347183060,04:26:16 HH:MM:SS ago,,
553,BTC,01-hs,31,1,BTC,1,01-hs,9,10,1,3,80,9,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,fa8160aa966148832dead14ce67881b0,Tested,time-series-BTC-01-hs-0000000553,parameters-0000000553,1,2022-04-19T07:25:36.130Z,3,1650348000000,1650351599999,40711.6,3,40722.87,40427.227,40967.582,327.341,0.8,632,10.53,0.18,p-pl / note2,1650353773520,00:45:02 HH:MM:SS ago,,
656,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d400e2d72b5280c166a60e4c735cb218,Tested,time-series-BTC-01-hs-0000000656,parameters-0000000656,1,2022-04-19T14:02:03.055Z,3,1650373200000,1650376799999,41451.52,3,41359.58,41101.93,41214.58,329.585,0.8,165,2.75,0.05,p-pl / note2,1650377093377,00:03:50 HH:MM:SS ago,,
697,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,5eb86b0239d0f362ee620eebe45664aa,Tested,time-series-BTC-01-hs-0000000697,parameters-0000000697,1,2022-04-19T14:39:29.671Z,3,1650373200000,1650376799999,41451.52,3,41392.94,41028.867,41249.668,332.41,0.8,408,6.8,0.11,Luis-Fernando-Molina / Laptop-Lenovo-01,1650379582383,00:02:37 HH:MM:SS ago,,
713,BTC,01-hs,31,1,BTC,1,01-hs,10,15,1,3,80,10,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,f4bf0b9025ced24d7474a3f86d08c32a,Tested,time-series-BTC-01-hs-0000000713,parameters-0000000713,1,2022-04-19T14:49:10.540Z,3,1650373200000,1650376799999,41451.52,3,41574.824,40905.367,41610.207,331.119,0.8,1987,33.11,0.55,caoHenriques / caoH_1,1650381744766,00:48:46 HH:MM:SS ago,,
749,BTC,01-hs,31,1,BTC,1,01-hs,8,15,1,3,80,8,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,64f62e42db6b9e0aa85759171d285f22,Tested,time-series-BTC-01-hs-0000000749,parameters-0000000749,1,2022-04-19T16:07:33.433Z,3,1650380400000,1650383999999,41445.87,3,41747.453,41259.977,41793.75,332.75,0.8,510,8.5,0.14,theblockchainarborist / theblockchainarborist,1650384969219,01:17:59 HH:MM:SS ago,,
25,BTC,01-hs,31,1,BTC,1,01-hs,7,15,1,3,80,7,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,0227bec9e852b6bef21dfc51db772800,Tested,time-series-BTC-01-hs-0000000025,parameters-0000000025,1,2022-04-18T21:29:20.392Z,3,1650312000000,1650315599999,40664.26,3,40921.875,40500.93,40911.082,331.508,0.81,381,6.35,0.11,Luis-Fernando-Molina / Laptop-Lenovo-01,1650317744173,21:27:15 HH:MM:SS ago,,
482,BTC,01-hs,31,1,BTC,1,01-hs,8,10,1,3,80,8,100,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,7b072059d3268671ab914457a67ce287,Tested,time-series-BTC-01-hs-0000000482,parameters-0000000482,1,2022-04-19T05:35:03.013Z,3,1650340800000,1650344399999,40864.27,3,41000.62,40516.27,40857.945,331.839,0.81,170,2.83,0.05,p-pl / note3,1650346677737,00:03:47 HH:MM:SS ago,,
