id,status,assignedTimestamp,testedByProfile
1,Tested,1666188394554,NicN11
2,Tested,1666187504156,EAlptug
3,Tested,1666187513858,EAlptug
4,Tested,1666187519229,EAlptug
5,Tested,1666121251372,vraptor75011
6,Tested,1666188431691,BastianMuc
7,Tested,1666121245909,vraptor75011
8,Tested,1666121232331,vraptor75011
9,Tested,1666084365409,vraptor75011
10,Tested,1666084508615,vraptor75011
11,Tested,1666084513024,vraptor75011
12,Tested,1666084371186,vraptor75011
13,Tested,1666084501515,vraptor75011
14,Tested,1666084975990,vraptor75011
15,Tested,1666084990412,vraptor75011
16,Tested,1666090844683,Chommoh
17,Tested,1666090754380,vraptor75011
18,Tested,1666090765844,vraptor75011
19,Tested,1666090799395,vraptor75011
20,Tested,1666097862485,caoHenriques
21,Tested,1666092231201,Chommoh
22,Tested,1666097859014,caoHenriques
23,Tested,1666092291344,Chommoh
24,Tested,1666092299604,Chommoh
25,Tested,1666092308929,Chommoh
26,Tested,1666092316102,Chommoh
27,Tested,1666092354022,Chommoh
28,Tested,1666092566525,Chommoh
29,Tested,1666092370585,Chommoh
30,Tested,1666092570214,Chommoh
31,Tested,1666092572999,Chommoh
32,Tested,1666092575737,Chommoh
33,Tested,1666092578455,Chommoh
34,Tested,1666092581872,Chommoh
35,Tested,1666092585069,Chommoh
36,Tested,1666092627714,Chommoh
37,Tested,1666092489365,Chommoh
38,Tested,1666092653613,Chommoh
39,Tested,1666092657997,Chommoh
40,Tested,1666092684246,Chommoh
41,Tested,1666097846738,caoHenriques
42,Tested,1666092697410,Chommoh
43,Tested,1666092590133,Chommoh
44,Tested,1666092630293,Chommoh
45,Tested,1666092637559,Chommoh
46,Tested,1666092775219,Chommoh
47,Tested,1666092700424,tigers40
48,Tested,1666092877428,end-debug
49,Tested,1666092899994,vraptor75011
50,Tested,1666092907033,vraptor75011
51,Tested,1666093087451,tigers40
52,Tested,1666093299337,tigers40
53,Tested,1666097856172,caoHenriques
54,Tested,1666094709552,tigers40
55,Tested,1666165882800,tigers40
56,Tested,1666104465814,tigers40
57,Tested,1666104722179,tigers40
58,Tested,1666096554290,Chommoh
59,Tested,1666104512527,tigers40
60,Tested,1666097001815,end-debug
61,Tested,1666104504694,tigers40
62,Tested,1666097212851,vraptor75011
63,Tested,1666097254715,vraptor75011
64,Tested,1666097265300,vraptor75011
65,Tested,1666097427443,caoHenriques
66,Tested,1666097452723,caoHenriques
67,Tested,1666097460977,caoHenriques
68,Tested,1666097542268,caoHenriques
69,Tested,1666097598479,Chommoh
