id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,BOLLINGER_BOLLINGER-BANDS_BOLLINGER-BANDS_BOLLINGERBAND_MOVINGAVERAGE,BOLLINGER_BOLLINGER-BANDS_BOLLINGER-BANDS_BOLLINGERBAND_DEVIATION,BOLLINGER_BOLLINGER-BANDS_PERCENTAGE-BANDWIDTH_PERCENTAGEBANDWIDTH_MOVINGAVERAGE,BOLLINGER_BOLLINGER-BANDS_PERCENTAGE-BANDWIDTH_PERCENTAGEBANDWIDTH_BANDWIDTH,parametersHash,status,assignedTo,assignedTimestamp,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,testedByInstance,testedByProfile
7608,BTC,01-hs,35,1,BTC,1,01-hs,12,15,1,3,80,12,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,OFF,OFF,OFF,b65ed258bd04dc35275df8f4b9ecb0e1,Tested,prepheadrus / prepheadrus,1652370850012,time-series-BTC-01-hs-0000007608,parameters-0000007608,1,2022-05-12T15:54:10.013Z,3,1652364000000,1652367599999,29580.94,3,-21168.33,-19935.979,-40669.145,6746.674,-31.87,5372,89.53,1.49,prepheadrus / prepheadrus,prepheadrus
7666,BTC,01-hs,35,1,BTC,1,01-hs,13,15,1,3,80,13,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,ON,ON,OFF,1c36ecd4b99e60a7ca19a701fe1d5cd7,Tested,prepheadrus / cloud3,1652385787546,time-series-BTC-01-hs-0000007666,parameters-0000007666,1,2022-05-12T20:03:07.546Z,3,1652382000000,1652385599999,28641.15,3,-13006.088,-17510.857,-16790.928,3518.97,-27.06,4515,75.25,1.25,prepheadrus / cloud3,prepheadrus
5354,BTC,01-hs,35,1,BTC,1,01-hs,10,10,1,3,80,10,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,ON,ON,OFF,081e434236c0e669ce2980dbc065a34e,Tested,theblockchainarborist / Ryzen9.3,1652154623113,time-series-BTC-01-hs-0000005354,parameters-0000005354,1,2022-05-10T03:50:23.114Z,3,1652148000000,1652151599999,31041.99,3,-15189.389,-7526.0137,-13534.132,3832.223,-25.23,5051,84.18,1.4,theblockchainarborist / Ryzen9.3,theblockchainarborist
4561,BTC,01-hs,35,1,BTC,1,01-hs,15,10,1,3,80,15,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,ON,ON,ON,4164eabe7ed18f237efb801a089f282f,Tested,DJ05GaZ / PowerEdge-R720-6,1651978106711,time-series-BTC-01-hs-0000004561,parameters-0000004561,1,2022-05-08T02:48:26.711Z,3,1651968000000,1651971599999,35107.02,3,-14485.007,-27650.414,-24933.885,3622.245,-25.01,8415,140.25,2.34,DJ05GaZ / PowerEdge-R720-6,DJ05GaZ
7601,BTC,01-hs,35,1,BTC,1,01-hs,15,15,1,3,80,15,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,ON,ON,ON,03f296169bd77f0d4027f4679b55b17b,Tested,theblockchainarborist / M93P-2,1652370136064,time-series-BTC-01-hs-0000007601,parameters-0000007601,1,2022-05-12T15:42:16.064Z,3,1652364000000,1652367599999,29580.94,3,-18322.781,-20265.406,-32083.066,4551.738,-24.84,8902,148.37,2.47,theblockchainarborist / M93P-2,theblockchainarborist
4852,BTC,01-hs,35,1,BTC,1,01-hs,11,10,1,3,80,11,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,a3dad881df496945804eed10450f95cb,Tested,end-debug / PC home,1652046039336,time-series-BTC-01-hs-0000004852,parameters-0000004852,1,2022-05-08T21:40:39.337Z,3,1652040000000,1652043599999,34229.76,3,-28759.123,-63525.207,-61271.48,6875.204,-23.91,8230,137.16,2.29,end-debug / PC home,end-debug
7377,BTC,01-hs,35,1,BTC,1,01-hs,12,15,1,3,80,12,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,ON,1fbb8145b2bda70d9ab7533e295fb435,Tested,theblockchainarborist / Ryzen9.3,1652344622807,time-series-BTC-01-hs-0000007377,parameters-0000007377,1,2022-05-12T08:37:02.808Z,3,1652338800000,1652342399999,28193.4,3,-23195.035,-4917.856,-10163.75,5357.861,-23.1,2384,39.74,0.66,theblockchainarborist / Ryzen9.3,theblockchainarborist
4877,BTC,01-hs,35,1,BTC,1,01-hs,10,10,1,3,80,10,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,535c711506bba8035449d5559ac925de,Tested,DJ05GaZ / PowerEdge-R720-7,1652050660671,time-series-BTC-01-hs-0000004877,parameters-0000004877,1,2022-05-08T22:57:40.671Z,3,1652043600000,1652047199999,34460.7,3,-14890.609,-12832.194,-10574.865,3295.684,-22.13,8369,139.49,2.32,DJ05GaZ / PowerEdge-R720-7,DJ05GaZ
5082,BTC,01-hs,35,1,BTC,1,01-hs,12,10,1,3,80,12,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,ON,ON,OFF,16c4cdd01ca416848863e5a7b5c0b9f0,Tested,theblockchainarborist / M93P-4,1652093068369,time-series-BTC-01-hs-0000005082,parameters-0000005082,1,2022-05-09T10:44:28.369Z,3,1652083200000,1652086799999,33671.42,3,-22727.77,12815.856,-20680.918,4575.854,-20.13,9621,160.35,2.67,theblockchainarborist / M93P-4,theblockchainarborist
5098,BTC,01-hs,35,1,BTC,1,01-hs,11,10,1,3,80,11,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,ON,ON,OFF,ced479c75a64f916a476b7a61bd6df50,Tested,theblockchainarborist / Ryzen9.3,1652096227096,time-series-BTC-01-hs-0000005098,parameters-0000005098,1,2022-05-09T11:37:07.097Z,3,1652090400000,1652093999999,32822.22,3,-30030.26,-36414.453,-29884.498,5831.664,-19.42,5953,99.22,1.65,theblockchainarborist / Ryzen9.3,theblockchainarborist
5280,BTC,01-hs,35,1,BTC,1,01-hs,8,10,1,3,80,8,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,b4d7fc844d5c5c4f6cffabd3a29a933e,Tested,DJ05GaZ / PowerEdge-R720-6,1652137027116,time-series-BTC-01-hs-0000005280,parameters-0000005280,1,2022-05-09T22:57:07.117Z,3,1652126400000,1652129999999,30954.25,3,-11035.015,-5801.0044,-4626.16,2003.395,-18.15,8338,138.97,2.32,DJ05GaZ / PowerEdge-R720-6,DJ05GaZ
7174,BTC,01-hs,35,1,BTC,1,01-hs,11,15,1,3,80,11,500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,6cd4caba65f4df376823b65c3d0722c0,Tested,DJ05GaZ / PowerEdge-R720-3,1652316682772,time-series-BTC-01-hs-0000007174,parameters-0000007174,1,2022-05-12T00:51:22.773Z,3,1652310000000,1652313599999,29103.94,3,-26603.799,-1135.9264,-11982.31,4419.278,-16.61,5059,84.31,1.41,DJ05GaZ / PowerEdge-R720-3,DJ05GaZ
